word,freq
apple,1
auto,1
automobile,1
banana,1
bright,1
bug,4
bus,1
canine,1
car,1
cat,1
cheerful,1
clever,1
creek,1
defect,3
dog,1
down,1
dwelling,1
elephant,1
error,3
fast,3
fault,3
feline,1
freq,2
fruit,1
glad,1
grape,1
happy,1
hill,1
home,1
hound,1
house,1
intelligent,1
joyful,1
kitty,1
lethargic,1
mango,1
melancholy,1
mountain,1
oak,1
orange,1
orchard,1
peak,1
pine,1
plant,1
puppy,1
quick,4
range,1
rapid,3
red,1
residence,1
river,1
sad,1
slow,1
sluggish,1
smart,1
speedy,1
stream,1
tabby,1
train,1
tree,1
unhappy,1
unhurried,1
vehicle,1
waterway,1
word,2
